,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind Speed
0,Saurimo,100,AO,2019-01-08,96,-9.66,20.4,65.52,2.53
1,Beihai,0,CN,2019-01-08,56,38.95,121.19,14.0,2.24
2,Vaini,0,IN,2019-01-08,82,15.34,74.49,56.47,3.09
3,Saint-Augustin,75,FR,2019-01-08,100,44.83,-0.61,48.2,12.75
4,Honningsvag,0,NO,2019-01-08,100,70.98,25.97,26.01,6.04
5,Bambous Virieux,40,MU,2019-01-08,78,-20.34,57.76,78.8,11.41
6,Teguise,0,ES,2019-01-08,82,29.06,-13.56,59.0,9.17
7,Castro,75,CL,2019-01-08,71,-42.48,-73.76,50.0,11.41
8,Zhezkazgan,48,KZ,2019-01-08,78,47.8,67.71,10.26,4.47
9,Carnarvon,0,ZA,2019-01-08,38,-30.97,22.13,66.64,8.72
10,Mataura,56,NZ,2019-01-08,42,-46.19,168.86,72.4,14.16
11,Cape Town,20,ZA,2019-01-08,82,-33.93,18.42,66.2,18.34
12,Nanortalik,92,GL,2019-01-08,99,60.14,-45.24,30.82,24.34
13,Mahebourg,40,MU,2019-01-08,78,-20.41,57.7,78.8,11.41
14,Yellowknife,75,CA,2019-01-08,75,62.45,-114.38,-16.61,4.7
15,Kaitangata,80,NZ,2019-01-08,66,-46.28,169.85,67.05,2.35
16,Sitka,0,US,2019-01-08,32,37.17,-99.65,43.87,5.77
17,Hithadhoo,92,MV,2019-01-08,100,-0.6,73.08,80.1,13.27
18,Chokurdakh,0,RU,2019-01-08,48,70.62,147.9,-29.35,3.2
19,Braganca,64,BR,2019-01-08,94,-1.05,-46.77,75.69,4.32
20,Porto Novo,40,BR,2019-01-08,78,-23.68,-45.44,75.2,6.93
21,Lethem,0,GY,2019-01-08,49,3.38,-59.8,84.55,15.05
22,Rikitea,76,PF,2019-01-08,96,-23.12,-134.97,80.46,15.55
23,Busselton,0,AU,2019-01-08,99,-33.64,115.35,67.95,17.11
24,Constitucion,75,MX,2019-01-08,48,23.99,-104.67,77.0,2.24
25,Beringovskiy,92,RU,2019-01-08,89,63.05,179.32,23.58,38.03
26,Itoman,75,JP,2019-01-08,68,26.12,127.67,64.4,11.41
27,Grand Forks,75,US,2019-01-08,71,47.91,-97.06,10.4,24.16
28,Norman Wells,20,CA,2019-01-08,73,65.28,-126.83,-34.61,3.36
29,Cabo San Lucas,5,MX,2019-01-08,39,22.89,-109.91,78.8,6.93
30,Tuktoyaktuk,20,CA,2019-01-08,73,69.44,-133.03,-31.01,3.36
31,Launceston,40,AU,2019-01-08,61,-41.43,147.14,60.8,6.93
32,Dunedin,68,NZ,2019-01-08,68,-45.87,170.5,69.75,6.55
33,Qaanaaq,8,GL,2019-01-08,82,77.48,-69.36,-14.0,9.84
34,Castelnau-le-Lez,0,FR,2019-01-08,49,43.64,3.91,48.2,12.75
35,Kavieng,88,PG,2019-01-08,100,-2.57,150.8,84.55,8.72
36,Luganville,0,VU,2019-01-08,100,-15.51,167.18,81.67,7.78
37,Hobart,20,AU,2019-01-08,56,-42.88,147.33,60.8,14.99
38,Wentzville,1,US,2019-01-08,42,38.81,-90.85,48.92,13.87
39,Dikson,36,RU,2019-01-08,100,73.51,80.55,-10.76,10.92
40,Atuona,68,PF,2019-01-08,100,-9.8,-139.03,81.0,14.94
41,Ixtapa,75,MX,2019-01-08,78,20.71,-105.21,78.8,9.17
42,Provideniya,40,RU,2019-01-08,77,64.42,-173.23,3.2,29.08
43,Saint-Philippe,90,CA,2019-01-08,91,45.36,-73.48,33.8,6.93
44,Ponta do Sol,32,BR,2019-01-08,97,-20.63,-46.0,64.44,5.26
45,Voh,0,NC,2019-01-08,93,-20.95,164.69,79.15,10.25
46,Port Macquarie,92,AU,2019-01-08,65,-31.43,152.91,80.6,3.36
47,Jamestown,0,AU,2019-01-08,83,-33.21,138.6,63.9,9.35
48,Bonthe,76,SL,2019-01-08,69,7.53,-12.5,80.32,1.74
49,Platanos,20,GR,2019-01-08,80,35.47,23.6,37.94,10.29
50,Chuy,0,UY,2019-01-08,80,-33.69,-53.46,74.43,15.28
51,Rawson,88,AR,2019-01-08,20,-43.3,-65.11,66.24,15.84
52,Ancud,75,CL,2019-01-08,71,-41.87,-73.83,50.0,11.41
53,Salalah,75,OM,2019-01-08,57,17.01,54.1,77.0,6.93
54,La Reforma,20,GT,2019-01-08,51,14.8,-91.82,86.0,6.93
55,Roros,80,NO,2019-01-08,86,62.57,11.38,26.6,14.99
56,Punta Arenas,40,CL,2019-01-08,58,-53.16,-70.91,53.6,14.99
57,Severo-Kurilsk,48,RU,2019-01-08,100,50.68,156.12,25.42,15.32
58,Coari,48,BR,2019-01-08,87,-4.09,-63.14,78.66,5.7
59,Svetlogorsk,90,RU,2019-01-08,62,53.14,59.15,19.4,17.9
60,Barrow,36,AR,2019-01-08,47,-38.31,-60.23,72.22,4.59
61,Cidreira,100,BR,2019-01-08,97,-30.17,-50.22,73.62,11.25
62,Kapaa,75,US,2019-01-08,68,22.08,-159.32,78.08,5.82
63,Lebu,20,ET,2019-01-08,34,8.96,38.73,50.0,4.7
64,Margate,0,AU,2019-01-08,80,-43.03,147.26,62.6,20.8
65,Thompson,90,CA,2019-01-08,77,55.74,-97.86,-0.41,14.99
66,Petropavlovsk-Kamchatskiy,0,RU,2019-01-08,67,53.05,158.65,21.2,11.18
67,Pevek,0,RU,2019-01-08,67,69.7,170.27,-14.68,4.99
68,Avarua,40,CK,2019-01-08,61,-21.21,-159.78,80.6,9.17
69,Ouadda,0,CF,2019-01-08,52,8.07,22.4,64.71,8.84
70,Hokitika,32,NZ,2019-01-08,84,-42.72,170.96,64.35,5.99
71,Albany,90,US,2019-01-08,96,42.65,-73.75,41.0,8.05
72,Ostrovnoy,76,RU,2019-01-08,92,68.05,39.51,13.23,13.76
73,Kalianget,40,ID,2019-01-08,94,-7.35,109.91,78.8,2.24
74,Altamont,56,CA,2019-01-08,65,49.4,-98.5,6.8,24.16
75,San Policarpo,92,PH,2019-01-08,95,12.18,125.51,78.79,16.06
76,Pedernales,100,EC,2019-01-08,91,0.07,-80.05,76.27,3.36
77,Usinsk,0,RU,2019-01-08,30,66.0,57.56,-20.53,3.2
78,Bintulu,75,MY,2019-01-08,94,3.17,113.03,75.2,5.82
79,Ulaanbaatar,0,MN,2019-01-08,75,47.92,106.92,-20.21,2.8
80,Breves,80,BR,2019-01-08,92,-1.68,-50.48,78.66,5.82
81,Poronaysk,20,RU,2019-01-08,83,49.22,143.1,2.61,7.27
82,Lima,90,PE,2019-01-08,73,-12.06,-77.04,77.0,8.05
83,Quatre Cocos,40,MU,2019-01-08,78,-20.21,57.76,78.8,11.41
84,Borogontsy,0,RU,2019-01-08,0,62.67,131.17,-49.24,2.75
85,Montemorelos,12,MX,2019-01-08,57,25.19,-99.83,74.74,2.86
86,Ukiah,90,US,2019-01-08,86,39.15,-123.21,55.04,9.17
87,Bluff,76,AU,2019-01-08,88,-23.58,149.07,78.07,12.93
88,Shimoda,20,JP,2019-01-08,37,34.7,138.93,44.6,11.41
89,Hasaki,20,JP,2019-01-08,69,35.73,140.83,37.4,11.41
90,Saint George,40,GR,2019-01-08,78,39.45,22.34,23.0,2.57
91,Balabac,0,PH,2019-01-08,98,7.99,117.06,82.62,19.08
92,Gamba,32,CN,2019-01-08,20,28.28,88.52,-24.71,2.19
93,Nizhnevartovsk,90,RU,2019-01-08,84,60.93,76.58,6.8,6.71
94,Tabou,80,CI,2019-01-08,98,4.42,-7.36,83.29,8.57
95,Port Alfred,100,ZA,2019-01-08,98,-33.59,26.89,70.29,5.88
96,Bonavista,48,CA,2019-01-08,100,48.65,-53.11,24.12,24.45
97,Roebourne,68,AU,2019-01-08,45,-20.77,117.15,87.48,4.59
98,Bathsheba,40,BB,2019-01-08,74,13.22,-59.52,78.8,12.75
99,Puerto Ayora,20,EC,2019-01-08,65,-0.74,-90.35,82.4,18.34
100,Plettenberg Bay,92,ZA,2019-01-08,100,-34.05,23.37,65.43,2.98
101,Ushuaia,40,AR,2019-01-08,43,-54.81,-68.31,51.8,13.87
102,Alofi,75,NU,2019-01-08,84,-19.06,-169.92,86.0,8.05
103,Bandarbeyla,92,SO,2019-01-08,100,9.49,50.81,76.59,15.84
104,Houma,92,CN,2019-01-08,65,35.63,111.36,18.45,5.32
105,Palmer,1,US,2019-01-08,86,61.6,-149.11,10.04,2.35
106,Hermanus,92,ZA,2019-01-08,99,-34.42,19.24,61.65,4.32
107,Cururupu,92,BR,2019-01-08,90,-1.82,-44.87,77.85,6.26
108,Yumen,48,CN,2019-01-08,68,40.29,97.04,3.64,6.26
109,Rorvik,76,NO,2019-01-08,100,64.86,11.24,39.37,20.31
110,Goderich,92,CA,2019-01-08,100,43.74,-81.71,36.18,21.14
111,Airai,24,TL,2019-01-08,90,-8.93,125.41,75.24,2.01
112,Yala,40,TH,2019-01-08,78,6.54,101.28,77.0,4.7
113,Port Elizabeth,75,US,2019-01-08,88,39.31,-74.98,46.04,11.36
114,Tasiilaq,92,GL,2019-01-08,95,65.61,-37.64,32.58,37.54
115,Fortuna,0,ES,2019-01-08,61,38.18,-1.13,46.4,10.29
116,Topolobampo,75,MX,2019-01-08,53,25.6,-109.05,75.2,13.87
117,Faanui,68,PF,2019-01-08,100,-16.48,-151.75,83.34,6.82
118,Aras,8,YE,2019-01-08,57,14.28,44.38,32.13,1.52
119,Pringsewu,68,ID,2019-01-08,97,-5.36,104.98,73.35,1.52
120,Bilibino,0,RU,2019-01-08,54,68.06,166.44,-11.48,5.37
121,Guaranda,92,EC,2019-01-08,97,-1.59,-79.0,64.17,1.52
122,Matipo,48,BR,2019-01-08,75,-20.28,-42.34,75.37,4.81
123,Zunyi,92,CN,2019-01-08,97,27.73,106.92,30.55,5.37
124,Nouadhibou,0,MR,2019-01-08,75,20.93,-17.03,62.64,13.42
125,Guerrero Negro,20,MX,2019-01-08,43,27.97,-114.04,69.03,4.99
126,Bredasdorp,92,ZA,2019-01-08,73,-34.53,20.04,69.8,8.05
127,Hengshan,92,CN,2019-01-08,100,23.54,112.37,50.35,3.36
128,Georgetown,40,GY,2019-01-08,83,6.8,-58.16,80.6,9.17
129,Buchanan,20,LR,2019-01-08,94,5.88,-10.05,73.4,5.32
130,Codrington,92,AU,2019-01-08,65,-28.95,153.24,80.6,6.93
131,Port Hedland,0,AU,2019-01-08,52,-20.31,118.58,91.4,1.12
132,New Norfolk,20,AU,2019-01-08,60,-42.78,147.06,60.8,14.99
133,Hilo,75,US,2019-01-08,66,19.71,-155.08,77.0,13.87
134,Puerto Baquerizo Moreno,20,EC,2019-01-08,78,-0.9,-89.6,78.8,10.29
135,Ust-Tsilma,0,RU,2019-01-08,56,65.44,52.15,-19.58,2.53
136,Narsaq,92,GL,2019-01-08,95,60.91,-46.05,26.5,1.68
137,Pontianak,75,ID,2019-01-08,100,-0.02,109.34,75.2,3.36
138,Port-Gentil,20,GA,2019-01-08,83,-0.72,8.78,80.6,5.82
139,Twin Falls,1,US,2019-01-08,77,42.57,-114.46,30.92,16.11
140,Cooma,75,AU,2019-01-08,88,-36.24,149.13,64.4,9.17
141,Kamenka,56,RU,2019-01-08,78,53.19,44.05,4.5,4.88
142,Lincoln,1,US,2019-01-08,39,40.8,-96.67,44.06,14.99
143,Lorengau,88,PG,2019-01-08,97,-2.02,147.27,84.15,11.14
144,Vestmannaeyjar,92,IS,2019-01-08,96,63.44,-20.27,44.59,15.55
145,Bafia,32,CM,2019-01-08,65,4.74,11.22,74.97,6.22
146,Shingu,75,JP,2019-01-08,56,33.72,135.99,42.8,21.92
147,Satao,0,PT,2019-01-08,73,40.74,-7.73,24.52,3.02
148,Klaksvik,24,FO,2019-01-08,86,62.23,-6.59,30.2,7.11
149,Fairbanks,90,US,2019-01-08,83,64.84,-147.72,-11.93,3.2
150,Haines Junction,12,CA,2019-01-08,54,60.75,-137.51,-33.71,1.97
151,Shizunai,32,JP,2019-01-08,100,42.33,142.37,20.16,11.03
152,Sierra Vista,1,US,2019-01-08,29,31.55,-110.3,73.94,8.05
153,Luderitz,0,NA,2019-01-08,79,-26.65,15.16,59.49,13.15
154,Salo,88,FI,2019-01-08,100,60.38,23.13,30.2,6.93
155,Grand Gaube,40,MU,2019-01-08,78,-20.01,57.66,78.8,11.41
156,Kilindoni,64,TZ,2019-01-08,99,-7.91,39.67,83.79,10.58
157,Si Bun Ruang,80,TH,2019-01-08,73,16.97,102.28,73.39,2.24
158,Kodiak,1,US,2019-01-08,21,39.95,-94.76,44.96,16.11
159,Saldanha,0,PT,2019-01-08,77,41.42,-6.55,22.9,2.8
160,Arraial do Cabo,0,BR,2019-01-08,74,-22.97,-42.02,78.8,14.99
161,Itupiranga,90,BR,2019-01-08,100,-5.13,-49.33,75.2,2.24
162,Grindavik,90,IS,2019-01-08,100,63.84,-22.43,46.4,21.92
163,Buala,32,SB,2019-01-08,95,-8.15,159.59,82.71,5.1
164,East London,68,ZA,2019-01-08,100,-33.02,27.91,72.63,2.24
165,Kimbe,76,PG,2019-01-08,100,-5.56,150.15,78.12,2.08
166,Mahanoro,92,MG,2019-01-08,100,-19.9,48.8,72.18,3.09
167,Longyearbyen,40,NO,2019-01-08,62,78.22,15.63,23.0,24.16
168,Mar del Plata,76,AR,2019-01-08,40,-46.43,-67.52,59.13,12.3
169,Talnakh,48,RU,2019-01-08,82,69.49,88.39,-9.28,2.98
170,Half Moon Bay,75,US,2019-01-08,82,37.46,-122.43,60.98,19.46
171,Nome,1,US,2019-01-08,61,30.04,-94.42,72.86,5.82
172,Victoria,75,BN,2019-01-08,94,5.28,115.24,78.8,4.21
173,San Cristobal,75,EC,2019-01-08,72,-0.39,-78.55,59.0,3.36
174,Lagoa,0,PT,2019-01-08,93,37.14,-8.45,48.2,4.7
175,Cayenne,20,GF,2019-01-08,83,4.94,-52.33,77.0,2.24
176,Cherskiy,0,RU,2019-01-08,33,68.75,161.3,-22.28,1.86
177,Isangel,36,VU,2019-01-08,100,-19.55,169.27,78.3,16.67
178,Kalulushi,92,ZM,2019-01-08,98,-12.84,28.09,64.75,5.99
179,Upernavik,68,GL,2019-01-08,100,72.79,-56.15,-2.75,9.57
180,Kokopo,48,PG,2019-01-08,100,-4.34,152.27,82.57,6.38
181,Santa Isabel do Rio Negro,32,BR,2019-01-08,87,-0.41,-65.02,79.38,4.32
182,Dedougou,0,BF,2019-01-08,31,12.47,-3.47,63.67,8.28
183,Cavalcante,88,BR,2019-01-08,61,-13.79,-47.46,74.29,3.31
184,Wanning,75,AT,2019-01-08,86,48.64,13.53,37.4,24.16
185,Riyadh,0,SA,2019-01-08,51,24.63,46.72,59.0,4.7
186,Qaqortoq,92,GL,2019-01-08,100,60.72,-46.03,29.7,25.17
187,Dakar,0,SN,2019-01-08,60,14.69,-17.45,69.8,16.11
188,Esperance,20,TT,2019-01-08,78,10.24,-61.45,78.8,8.05
189,Kamphaeng Phet,0,TH,2019-01-08,98,16.47,99.53,70.15,1.34
190,Rabo de Peixe,20,PT,2019-01-08,72,37.8,-25.58,60.8,18.34
191,Saskylakh,0,RU,2019-01-08,0,71.97,114.09,-40.46,9.01
192,Kidodi,32,TZ,2019-01-08,98,-7.6,37.0,69.3,2.24
193,Paamiut,80,GL,2019-01-08,100,61.99,-49.67,27.54,29.75
194,Laramie,1,US,2019-01-08,37,41.31,-105.59,39.02,13.87
195,Banjar,64,ID,2019-01-08,97,-7.37,108.54,73.44,2.68
196,Marsaxlokk,40,MT,2019-01-08,76,35.84,14.54,53.6,13.87
197,Black River,75,JM,2019-01-08,74,18.03,-77.85,80.6,11.41
198,Ippy,0,CF,2019-01-08,75,6.26,21.2,66.6,3.36
199,Tiksi,8,RU,2019-01-08,70,71.64,128.87,-36.5,3.2
200,Yaan,0,NG,2019-01-08,32,7.38,8.57,70.92,9.73
201,Port Blair,12,IN,2019-01-08,100,11.67,92.75,80.5,2.86
202,Napier,0,NZ,2019-01-08,96,-39.49,176.92,71.19,14.61
203,Nikolskoye,75,RU,2019-01-08,86,59.7,30.79,26.6,2.24
204,Mount Gambier,75,AU,2019-01-08,48,-37.83,140.78,60.8,11.41
205,Ormara,0,PK,2019-01-08,99,25.21,64.64,65.74,6.22
206,Mayo,20,CA,2019-01-08,64,63.59,-135.9,-41.81,2.57
207,Hamilton,90,CA,2019-01-08,100,43.26,-79.87,41.0,2.24
208,Chicama,0,PE,2019-01-08,83,-7.84,-79.15,75.2,9.17
209,Qasigiannguit,88,GL,2019-01-08,85,68.82,-51.19,10.4,23.04
210,Warren,90,US,2019-01-08,71,42.48,-83.03,42.98,16.11
211,Kodinsk,12,RU,2019-01-08,76,58.6,99.18,2.07,4.47
212,Freeport,12,BS,2019-01-08,100,26.54,-78.7,75.15,1.74
213,Ylivieska,44,FI,2019-01-08,100,64.07,24.53,22.32,4.76
214,Markova,0,RU,2019-01-08,52,52.21,104.21,-11.21,1.86
215,Butaritari,24,KI,2019-01-08,99,3.07,172.79,85.45,12.03
216,Necochea,0,AR,2019-01-08,74,-38.55,-58.74,68.35,11.52
217,San Juan,40,PR,2019-01-08,65,18.47,-66.12,78.08,11.41
218,Ust-Ishim,56,RU,2019-01-08,77,57.69,71.17,2.29,8.72
219,Batagay-Alyta,12,RU,2019-01-08,0,67.8,130.41,-45.41,2.57
220,Torbay,90,CA,2019-01-08,85,47.66,-52.73,19.4,23.04
221,Uray,80,RU,2019-01-08,79,60.13,64.8,15.52,6.71
222,Tarquinia,40,IT,2019-01-08,87,42.25,11.76,48.2,5.82
223,Moron,8,VE,2019-01-08,82,10.49,-68.2,68.58,3.58
224,Kununurra,8,AU,2019-01-08,62,-15.77,128.74,87.8,5.82
225,Proletarskiy,90,RU,2019-01-08,92,50.79,35.77,15.8,4.47
226,Christchurch,24,NZ,2019-01-08,64,-43.53,172.64,73.4,24.16
227,Panguna,20,PG,2019-01-08,82,-6.32,155.48,83.52,2.86
228,Senador Jose Porfirio,80,BR,2019-01-08,94,-2.59,-51.95,77.8,2.8
229,Alice Springs,0,AU,2019-01-08,13,-23.7,133.88,86.0,19.46
230,Cermik,90,TR,2019-01-08,100,38.14,39.45,37.4,4.7
231,La Ligua,0,CL,2019-01-08,63,-32.45,-71.23,66.2,10.29
232,Zapolyarnyy,0,RU,2019-01-08,92,69.43,30.82,17.6,17.22
233,Zhoucheng,90,CN,2019-01-08,98,31.35,119.33,32.0,6.71
234,Tiarei,90,PF,2019-01-08,79,-17.53,-149.33,84.2,5.82
235,Kargasok,64,RU,2019-01-08,79,59.06,80.87,6.57,5.48
236,Waingapu,68,ID,2019-01-08,100,-9.65,120.26,77.76,4.54
237,Coahuayana,0,MX,2019-01-08,47,18.62,-100.35,78.52,2.19
238,Trelew,88,AR,2019-01-08,20,-43.25,-65.31,66.24,15.84
239,Gornoye Loo,90,RU,2019-01-08,86,43.72,39.61,41.0,2.24
240,Oktyabrskiy,0,RU,2019-01-08,85,55.61,37.97,15.8,4.47
241,Beni,0,CD,2019-01-08,92,0.49,29.47,59.8,2.46
242,Misawa,75,JP,2019-01-08,63,40.75,141.38,26.6,11.41
243,Joshimath,68,IN,2019-01-08,95,30.57,79.57,8.1,0.96
244,Padang,40,ID,2019-01-08,94,-0.92,100.36,77.0,4.7
245,Teknaf,0,BD,2019-01-08,98,20.86,92.31,55.35,2.8
246,Khatanga,64,RU,2019-01-08,74,71.98,102.47,-17.06,1.74
247,Havelock,1,US,2019-01-08,83,34.88,-76.9,62.96,12.75
248,Francisco Sa,0,BR,2019-01-08,70,-16.48,-43.49,70.83,6.33
249,Maningrida,36,AU,2019-01-08,83,-12.05,134.23,87.7,8.01
250,Katsuura,75,JP,2019-01-08,60,33.93,134.5,41.0,20.8
251,Coquimbo,0,CL,2019-01-08,64,-29.95,-71.34,68.0,11.41
252,Ribeira Grande,20,PT,2019-01-08,95,38.52,-28.7,63.72,26.84
253,Rafai,0,CF,2019-01-08,88,4.95,23.92,64.08,2.75
254,Placido de Castro,48,BR,2019-01-08,97,-10.34,-67.19,72.22,1.97
255,Yeppoon,75,AU,2019-01-08,94,-23.13,150.74,77.0,6.93
256,Tuatapere,100,NZ,2019-01-08,72,-46.13,167.69,63.54,16.62
257,La Primavera,0,AR,2019-01-08,29,-32.92,-68.67,79.24,0.96
258,Merrill,75,US,2019-01-08,65,42.03,-121.6,46.94,14.99
259,Axim,0,GH,2019-01-08,100,4.87,-2.24,82.8,8.79
260,Samut Songkhram,12,TH,2019-01-08,100,13.41,100.0,79.6,3.58
261,Cabedelo,20,BR,2019-01-08,78,-6.97,-34.84,80.6,11.41
262,Manavalakurichi,20,IN,2019-01-08,88,8.13,77.3,73.4,3.36
263,Pangnirtung,20,CA,2019-01-08,61,66.15,-65.72,-23.81,2.24
